ZIP CODE,CITY,STATE,ZIP,SHIP DATE,LOCATION (TEXT INFO),URL DISPLAYED FOR IMAGE (TEXT INFO),IMAGE FILE,STATUS,ERROR
33101,MIAMI,FL,33101,12/27/2025,"MIAMI, FL 33101",https://www.ups.com/using/services/servicemaps/maps25/map_0333_NOV25.gif,,OK,"img_download_error:HTTPSConnectionPool(host='www.ups.com', port=443): Read timed out. (read timeout=60)"
90210,BEVERLY HILLS,CA,90210,12/27/2025,"BEVERLY HILLS, CA 90210",https://www.ups.com/using/services/servicemaps/maps25/map_1011_NOV25.gif,,OK,"img_download_error:HTTPSConnectionPool(host='www.ups.com', port=443): Read timed out. (read timeout=60)"
20101,DULLES,VA,20101,12/27/2025,"DULLES, VA 20101",https://www.ups.com/using/services/servicemaps/maps25/map_0181_NOV25.gif,,OK,"img_download_error:HTTPSConnectionPool(host='www.ups.com', port=443): Read timed out. (read timeout=60)"
10001,NEW YORK,NY,10001,12/27/2025,"NEW YORK, NY 10001",https://www.ups.com/using/services/servicemaps/maps25/map_0076_NOV25.gif,,OK,"img_download_error:HTTPSConnectionPool(host='www.ups.com', port=443): Read timed out. (read timeout=60)"
20101,DULLES,VA,20101,12/27/2025,"DULLES, VA 20101",https://www.ups.com/using/services/servicemaps/maps25/map_0181_NOV25.gif,/Applications/XAMPP/xamppfiles/htdocs/myworkplace/fiverr/aps1000 2/images/map_0181_NOV25.gif,OK,
10001,NEW YORK,NY,10001,12/27/2025,"NEW YORK, NY 10001",https://www.ups.com/using/services/servicemaps/maps25/map_0076_NOV25.gif,/Applications/XAMPP/xamppfiles/htdocs/myworkplace/fiverr/aps1000 2/images/map_0076_NOV25.gif,OK,
33101,MIAMI,FL,33101,12/27/2025,"MIAMI, FL 33101",https://www.ups.com/using/services/servicemaps/maps25/map_0333_NOV25.gif,/Applications/XAMPP/xamppfiles/htdocs/myworkplace/fiverr/aps1000 2/images/map_0333_NOV25.gif,OK,
90210,BEVERLY HILLS,CA,90210,12/27/2025,"BEVERLY HILLS, CA 90210",https://www.ups.com/using/services/servicemaps/maps25/map_1011_NOV25.gif,/Applications/XAMPP/xamppfiles/htdocs/myworkplace/fiverr/aps1000 2/images/map_1011_NOV25.gif,OK,
60601,CHICAGO,IL,60601,12/27/2025,"CHICAGO, IL 60601",https://www.ups.com/using/services/servicemaps/maps25/map_0714_NOV25.gif,/Applications/XAMPP/xamppfiles/htdocs/myworkplace/fiverr/aps1000 2/images/map_0714_NOV25.gif,OK,
75201,DALLAS,TX,75201,12/27/2025,"DALLAS, TX 75201",https://www.ups.com/using/services/servicemaps/maps25/map_0854_NOV25.gif,/Applications/XAMPP/xamppfiles/htdocs/myworkplace/fiverr/aps1000 2/images/map_0854_NOV25.gif,OK,
98101,SEATTLE,WA,98101,12/27/2025,"SEATTLE, WA 98101",https://www.ups.com/using/services/servicemaps/maps25/map_1102_NOV25.gif,/Applications/XAMPP/xamppfiles/htdocs/myworkplace/fiverr/aps1000 2/images/map_1102_NOV25.gif,OK,
